Scopus-4949-Analyze-Year

"Your query : ((TITLE-ABS-KEY(""composite indicator*"") OR TITLE-ABS-KEY(""composite index"")OR TITLE-ABS-KEY(""composite indices"")) AND ( LIMIT-TO ( PUBYEAR,2018) OR LIMIT-TO ( PUBYEAR,2017) OR LIMIT-TO ( PUBYEAR,2016) OR LIMIT-TO ( PUBYEAR,2015) OR LIMIT-TO ( PUBYEAR,2014) OR LIMIT-TO ( PUBYEAR,2013) OR LIMIT-TO ( PUBYEAR,2012) OR LIMIT-TO ( PUBYEAR,2011) OR LIMIT-TO ( PUBYEAR,2010) OR LIMIT-TO ( PUBYEAR,2009) OR LIMIT-TO ( PUBYEAR,2008) OR LIMIT-TO ( PUBYEAR,2007) OR LIMIT-TO ( PUBYEAR,2006) OR LIMIT-TO ( PUBYEAR,2005) OR LIMIT-TO ( PUBYEAR,2004) OR LIMIT-TO ( PUBYEAR,2003) OR LIMIT-TO ( PUBYEAR,2002) OR LIMIT-TO ( PUBYEAR,2001) OR LIMIT-TO ( PUBYEAR,2000) OR LIMIT-TO ( PUBYEAR,1999) OR LIMIT-TO ( PUBYEAR,1998) OR LIMIT-TO ( PUBYEAR,1997) OR LIMIT-TO ( PUBYEAR,1996) OR LIMIT-TO ( PUBYEAR,1995) OR LIMIT-TO ( PUBYEAR,1994) OR LIMIT-TO ( PUBYEAR,1993) OR LIMIT-TO ( PUBYEAR,1992) OR LIMIT-TO ( PUBYEAR,1991) OR LIMIT-TO ( PUBYEAR,1990) OR LIMIT-TO ( PUBYEAR,1989) ) )"


Number of results : 4949

"YEAR",
"2018","553"
"2017","494"
"2016","489"
"2015","422"
"2014","371"
"2013","339"
"2012","319"
"2011","287"
"2010","275"
"2009","228"
"2008","172"
"2007","133"
"2006","106"
"2005","112"
"2004","84"
"2003","63"
"2002","58"
"2001","49"
"2000","47"
"1999","43"
"1998","41"
"1997","31"
"1996","36"
"1995","30"
"1994","33"
"1993","38"
"1992","34"
"1991","21"
"1990","25"
"1989","16"
